,amplitude_max,amplitude_min,amplitude_mean,amplitude_std,amplitude_range,r_peak_amplitude,signal_energy,signal_power,skewness,kurtosis,zero_crossing_rate,rms,dominant_frequency,spectral_centroid,spectral_bandwidth,spectral_rolloff,qrs_duration,t_wave_presence
amplitude_max,1.0,0.3111199757377641,0.3315410809827899,0.8929088934463256,0.9094212288947631,0.9137517355266469,0.18828617121301697,0.18828617121301666,0.578731566282782,0.5428500450913292,0.14846594813580158,0.3648055736854801,0.022086200144481347,0.19330419439226165,-0.6014851662038281,0.0005279479096575512,0.21899022978369306,-0.13763609678879665
amplitude_min,0.3111199757377641,1.0,0.631370416716415,0.017340299947882214,-0.11229743809465585,0.5086486263320105,-0.39951276535823427,-0.39951276535823554,0.561036229116684,0.33026402914058295,-0.12508888221105594,-0.4198970386226351,0.13577937532818715,-0.10035390095368187,-0.46169834177481756,-0.29790761313698416,-0.04662160364975697,0.12803603671596783
amplitude_mean,0.3315410809827899,0.631370416716415,1.0,0.1140368247885418,0.07036415009631461,0.2962944289217827,-0.5354551877080094,-0.5354551877080096,0.027129118774627675,-0.06562138671612174,0.23428838913055208,-0.5616851525698494,-0.1398987020089211,-0.14011352589313972,-0.0627986398439088,-0.1446168247129094,0.03925523113729273,0.1796775494396419
amplitude_std,0.8929088934463256,0.017340299947882214,0.1140368247885418,1.0,0.9260066148257872,0.7768895117113374,0.4061365515048133,0.40613655150481254,0.35084054064124665,0.2905782087327946,0.19428393351792192,0.5764218029420276,-0.13327658306241688,-0.01978920565173213,-0.5674878529520079,-0.17751048502770087,0.31190270109036833,-0.05298377602064134
amplitude_range,0.9094212288947631,-0.11229743809465585,0.07036415009631461,0.9260066148257872,1.0,0.7328057345896425,0.37168977493442307,0.37168977493442423,0.35959576050853875,0.423063747968701,0.2099689628545885,0.5651723797843999,-0.036323634731299674,0.24602640830608138,-0.4268557715678774,0.13091450227696894,0.24936992208052958,-0.19993530156077702
r_peak_amplitude,0.9137517355266469,0.5086486263320105,0.2962944289217827,0.7768895117113374,0.7328057345896425,1.0,0.15710024739258963,0.1571002473925892,0.7692858788014947,0.637277876408447,0.04546670613451618,0.3063529163663243,0.15617211411004753,0.187617357486369,-0.7660134992238029,-0.10861205077132617,0.2244848304850082,-0.09613666848174468
signal_energy,0.18828617121301697,-0.39951276535823427,-0.5354551877080094,0.4061365515048133,0.37168977493442307,0.15710024739258963,1.0,0.9999999999999927,0.10576227633102758,0.1307851611141716,-0.043606105517755296,0.8879760562537049,0.011369038011847814,0.06303775188206355,-0.20654979372027393,0.00041526914859653266,0.1421299056239318,-0.07149489423130902
signal_power,0.18828617121301666,-0.39951276535823554,-0.5354551877080096,0.40613655150481254,0.37168977493442423,0.1571002473925892,0.9999999999999927,1.0,0.10576227633102596,0.13078516111417046,-0.04360610551775499,0.8879760562536971,0.011369038011847287,0.06303775188206347,-0.2065497937202724,0.0004152691485967023,0.14212990562393177,-0.07149489423130885
skewness,0.578731566282782,0.561036229116684,0.027129118774627675,0.35084054064124665,0.35959576050853875,0.7692858788014947,0.10576227633102758,0.10576227633102596,1.0,0.9056327907326894,-0.16359533788106934,0.20593957774763322,0.5135930067539646,0.4710462236513719,-0.796971556354326,0.07413980652291761,0.13870948265458483,-0.18447746287167416
kurtosis,0.5428500450913292,0.33026402914058295,-0.06562138671612174,0.2905782087327946,0.423063747968701,0.637277876408447,0.1307851611141716,0.13078516111417046,0.9056327907326894,1.0,-0.12454058123192624,0.2519866488029062,0.6158746785502931,0.7272912325827272,-0.6372218387869607,0.3859426684845088,0.10800031569083993,-0.29977774061040113
zero_crossing_rate,0.14846594813580158,-0.12508888221105594,0.23428838913055208,0.19428393351792192,0.2099689628545885,0.04546670613451618,-0.043606105517755296,-0.04360610551775499,-0.16359533788106934,-0.12454058123192624,1.0,-0.04914800305677968,-0.09334524511156757,0.056470604692240016,0.1234936618090717,0.14705133701321718,0.4887884493938757,0.041417668955157326
rms,0.3648055736854801,-0.4198970386226351,-0.5616851525698494,0.5764218029420276,0.5651723797843999,0.3063529163663243,0.8879760562537049,0.8879760562536971,0.20593957774763322,0.2519866488029062,-0.04914800305677968,1.0,0.047765768804013446,0.1316667311898683,-0.330408243274158,0.02662762332641471,0.2039292356732885,-0.13854044586122177
dominant_frequency,0.022086200144481347,0.13577937532818715,-0.1398987020089211,-0.13327658306241688,-0.036323634731299674,0.15617211411004753,0.011369038011847814,0.011369038011847287,0.5135930067539646,0.6158746785502931,-0.09334524511156757,0.047765768804013446,1.0,0.6720960654365085,-0.32817327079112196,0.3951378749575473,0.060778231456558064,-0.12903148916405227
spectral_centroid,0.19330419439226165,-0.10035390095368187,-0.14011352589313972,-0.01978920565173213,0.24602640830608138,0.187617357486369,0.06303775188206355,0.06303775188206347,0.4710462236513719,0.7272912325827272,0.056470604692240016,0.1316667311898683,0.6720960654365085,1.0,-0.10063666998999071,0.8487590901555154,0.08775639323176462,-0.25813214884657987
spectral_bandwidth,-0.6014851662038281,-0.46169834177481756,-0.0627986398439088,-0.5674878529520079,-0.4268557715678774,-0.7660134992238029,-0.20654979372027393,-0.2065497937202724,-0.796971556354326,-0.6372218387869607,0.1234936618090717,-0.330408243274158,-0.32817327079112196,-0.10063666998999071,1.0,0.34420700128801385,-0.24765566464976724,0.10991593700103665
spectral_rolloff,0.0005279479096575512,-0.29790761313698416,-0.1446168247129094,-0.17751048502770087,0.13091450227696894,-0.10861205077132617,0.00041526914859653266,0.0004152691485967023,0.07413980652291761,0.3859426684845088,0.14705133701321718,0.02662762332641471,0.3951378749575473,0.8487590901555154,0.34420700128801385,1.0,0.03199780797377931,-0.20214347822044004
qrs_duration,0.21899022978369306,-0.04662160364975697,0.03925523113729273,0.31190270109036833,0.24936992208052958,0.2244848304850082,0.1421299056239318,0.14212990562393177,0.13870948265458483,0.10800031569083993,0.4887884493938757,0.2039292356732885,0.060778231456558064,0.08775639323176462,-0.24765566464976724,0.03199780797377931,1.0,0.011182778866926788
t_wave_presence,-0.13763609678879665,0.12803603671596783,0.1796775494396419,-0.05298377602064134,-0.19993530156077702,-0.09613666848174468,-0.07149489423130902,-0.07149489423130885,-0.18447746287167416,-0.29977774061040113,0.041417668955157326,-0.13854044586122177,-0.12903148916405227,-0.25813214884657987,0.10991593700103665,-0.20214347822044004,0.011182778866926788,1.0
